Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
20,17513,12347,13642,13627,13825,10998,12975,11915,24279,12284,9085,5997,6152,8836,8549,21503,9708,5415,205,6064,0,3242,3624,1710,8687,4079,15410,12335,22325,17691,17549,17799,17105,16879,17568,5273,21532,16058,15236,16379,26886,17493,21607,18370,16905,22332,14295,16648,24814,27206,16347,6008,23341,22743,13976,8435,7212,4496,9350,6303,6313,6148,9600,6449,30593,20512,30324,20424,11579,8232,17228,16411,17561,37481,11320,9027,4689,7641,7915,17979,16015,26833,26065,8012,23953,17669,27201,30132,36559,17569,13026,27628,6338,3399,23702,22170,29233,11891,15071,4474,21628,14461,17396,5172,7344,8625,17943,19453,17171,14825,17894,18139,17256
21,19940,10008,11303,11927,12125,10241,11275,10215,23520,9944,11511,8424,8579,11263,7790,19165,12135,6524,3442,7171,3852,0,1057,2818,7569,5186,17837,14762,23433,20118,19974,20226,19531,15179,19994,5855,23959,18484,17663,17487,29313,19919,24033,20797,19332,24759,16722,19075,27241,29633,17454,8435,25768,25170,16403,10861,9639,4379,10457,8729,8740,8575,12027,8876,31701,21620,31432,21531,14005,10659,19655,18838,19987,38589,12428,11453,5796,5397,10341,20406,14316,29260,27172,5674,25061,20096,29628,32558,37668,19995,10688,28736,3998,5826,24810,24596,31660,11403,17497,2135,19289,16888,19823,2833,9771,11052,20369,21880,19598,17252,20320,20566,19683
22,16770,10154,11448,12073,12271,10386,11421,10361,23666,10091,8341,5254,5408,8093,7936,19310,8963,6897,3816,7546,4226,1049,0,3192,7714,5560,14667,11592,23807,16946,16804,17056,16360,15325,16824,4530,20789,15314,14492,17861,26142,16749,20863,17627,16162,21589,13552,15903,24070,26462,17829,5264,22598,21998,13233,7691,6468,3930,10832,5559,5570,5404,8856,5706,32075,21994,31806,21906,10835,7488,16484,15668,16817,38962,12802,8283,6171,5543,7171,17236,14461,26090,27546,5819,25434,16925,26457,29388,38041,16825,10833,29110,4144,2656,25184,21425,28489,11549,14327,2281,19434,13718,16653,2978,6600,7880,17199,18710,16426,14082,17150,17395,16512
23,19168,12598,13892,15281,15479,12653,14630,13570,25932,12534,10739,7652,7806,10490,10203,21754,11362,4103,2670,4751,3080,3492,3874,0,7374,2766,17065,13989,20590,19345,19202,19453,18759,18533,19222,2966,23187,17712,16890,14644,26737,19147,23261,20024,18560,23823,15949,18302,26468,28860,14612,7663,24995,24397,15631,6911,5918,6151,7615,7060,6199,7802,11254,6010,28857,18777,28589,18689,13233,9886,18882,18066,19215,35746,9585,6819,3376,6328,9570,19634,17670,28487,24329,8263,22218,19323,28855,31786,34824,19223,13277,25892,6588,5054,21966,23823,30887,13546,16725,4724,21878,16116,19051,5422,6050,6417,19597,21108,18825,16479,19548,19793,18910
24,22205,10108,11402,15535,15733,13043,14883,13823,28628,10044,13776,10689,10843,13527,11398,19264,14398,4064,9363,5342,9773,7584,7737,7855,0,5310,20102,17026,27794,22381,22239,22490,21795,20181,22259,10215,26224,20749,19927,21847,31577,22184,26298,23062,21597,27023,18986,21338,29504,31897,21815,10699,28032,27433,18668,14160,13167,8509,14818,11538,12154,10839,14291,13259,33371,25980,33115,25892,16270,12923,21919,21103,22252,42949,16788,14068,3415,2172,12606,22671,17923,31524,28843,7567,26732,22360,31892,34823,42027,22260,10787,30418,7555,8068,29170,26860,33924,14662,19762,6176,19388,19153,22088,6874,13299,13666,22634,23156,21861,19516,22585,22830,21947
25,19624,11583,12877,15736,15934,13108,15085,14024,26388,11519,11194,8107,8261,10945,10658,20739,11817,2961,3125,3926,3536,3947,4329,1617,7657,0,17519,14445,21556,19800,19658,19908,19214,18988,19677,3976,23642,18167,17345,15609,27702,19603,23717,20479,19015,24788,16405,18757,26923,29315,15577,8118,25450,24852,16086,7921,6928,6606,8580,8412,7209,8257,11709,7022,29822,19742,29554,19654,13688,10342,19337,18520,19671,36711,10551,7829,2534,5485,10025,20089,18126,28942,25294,8718,23183,19778,29310,32242,35790,19679,12262,26835,7043,5509,22932,24279,31342,14000,17181,5180,20863,16571,19506,5877,7061,7427,20053,21563,19280,16934,20003,20249,19366
26,2105,26395,27690,20726,20923,19554,20074,19013,35748,21483,10886,9812,9894,13253,17104,35551,10851,20065,14978,20712,15388,17891,15428,16359,19999,18727,0,4017,9697,6429,6287,6063,5368,23977,4492,15577,9349,4796,3974,6403,11746,5616,9554,6041,5645,6922,3214,1238,9674,11425,6605,12041,7931,10560,2715,14054,12831,13052,13955,11504,12120,10805,8686,12257,21679,5683,17696,5017,7380,7179,5966,5150,6300,22863,11508,14656,19337,17829,8726,4820,23115,11393,18430,17212,17726,4166,11420,14812,21942,6308,27075,14977,15537,12947,8412,9986,13793,16868,3810,15029,35676,3200,5317,14952,12962,14243,4649,8192,5434,3564,6633,3915,5521
27,6120,23321,24616,17651,17849,16478,16999,15939,32674,18408,7811,6737,6819,10179,14028,32477,7776,16989,11903,17638,12314,14816,12354,13284,16925,15653,4017,0,13048,6296,6154,6405,5710,20903,6174,12502,10139,4664,3842,7102,15491,6099,10213,6976,5511,10938,2901,5253,13419,15812,7069,8966,11947,11348,2583,10978,9756,9976,12534,8429,9046,7731,5612,9182,25029,8990,21047,8574,4305,4104,5834,5018,6167,26879,10915,11581,16263,14754,5651,6586,20040,15439,22661,14137,20549,6275,15807,18738,25958,6175,23999,18328,12462,9872,12180,10775,17839,13793,3677,11954,32601,3068,6002,11878,9888,11169,6549,8060,5776,3431,6499,6745,5862
28,8568,35170,36464,29500,29698,28328,28848,27788,44522,30258,20659,18587,18669,23025,25878,44326,20623,24107,20988,24754,21398,23430,23813,20590,27378,22769,9697,13048,0,10219,10076,9774,9080,32752,8204,17917,13061,9816,11180,6656,11673,9326,13265,9751,9433,9346,12910,8746,13384,15136,6139,20815,11643,14270,12411,14958,15724,21826,13489,17588,16481,18506,19185,16293,11982,4300,7999,4212,17352,17817,9756,9442,10089,16843,11043,14509,23379,26332,16500,8531,31889,15105,8734,25986,9967,8747,15131,18523,15899,10097,35849,5281,24311,21276,7490,13697,17504,26640,13506,23804,44450,11414,9029,23727,15637,14400,8360,16374,9146,11519,10421,7626,9231
29,4551,28676,29970,19811,20009,22036,19160,18100,38601,23764,13167,12093,12175,15534,19384,31239,13132,22345,17259,22992,17669,20172,17709,18639,22280,21007,6429,6296,10219,0,288,1758,1552,23064,2016,17857,5980,1736,3100,10760,11333,1940,6055,2817,785,6601,4333,5270,9261,11654,10243,14321,7609,7190,3834,16334,15112,15332,17889,13785,14400,13086,10966,14538,22200,5918,18218,6840,9661,9459,463,1362,210,22541,16271,16936,21618,20110,11006,2649,22201,11281,18951,19492,20185,2117,11649,14580,21620,988,29355,15498,17817,15228,8648,6617,13681,16382,4929,17310,31363,3333,1844,17233,15243,16523,2390,6262,1618,3023,310,2587,1704
